"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 30-Jun-2022","30 D % CHNG 
 31-May-2023"
NIFTY 50,"19,405.95","19,421.60","19,339.60","19,389.00","19,398.50",9.5,0.05,"224,418,797",2.46992E+11,"19,434.15","15,858.20",22.44,4.61
BAJAJ-AUTO,"4,647.95","4,900.00","4,633.00","4,625.40","4,900.00",274.6,5.94,"891,033",4271977526,"4,900.00","3,461.25",25.7,-0.94
DIVISLAB,"3,576.40","3,775.00","3,563.15","3,550.10","3,760.05",209.95,5.91,"1,611,582",5942096224,"3,973.90","2,730.00",-2.46,1.1
HDFCLIFE,647,675.95,645.05,647,675,28,4.33,"5,871,642",3913038378,675.95,457.8,12.66,12.25
MARUTI,"9,697.00","10,036.95","9,675.00","9,647.40","9,990.10",342.7,3.55,"815,044",8057345674,"10,036.95","8,076.05",14.26,1.71
HEROMOTOCO,"3,050.00","3,172.00","3,030.20","3,029.80","3,135.80",106,3.5,"3,069,147",9573835769,"3,172.00","2,246.00",9.76,4.74
TECHM,"1,150.80","1,184.95","1,146.50","1,148.00","1,176.50",28.5,2.48,"3,732,838",4365927325,"1,184.95",965.05,14.81,2.22
INDUSINDBK,"1,371.35","1,413.10","1,371.35","1,367.35","1,399.90",32.55,2.38,"5,288,351",7401152992,"1,413.10",789.5,64.34,6.14
BPCL,376.65,387.1,375,376.65,385,8.35,2.22,"6,282,683",2410225679,387.1,288.05,19.06,4.61
HINDUNILVR,"2,699.95","2,759.40","2,696.10","2,700.00","2,756.95",56.95,2.11,"1,717,547",4705391761,"2,759.40","2,276.00",13.67,-0.61
ITC,466.35,480.65,464.3,466.35,475.05,8.7,1.87,"16,252,992",7708631576,480.65,284.8,59.76,5.18
BRITANNIA,"5,024.80","5,115.40","4,960.50","5,010.15","5,100.10",89.95,1.8,"186,513",943130961.5,"5,115.40","3,564.10",35.39,7.65
ICICIBANK,942.05,964.75,941,944.7,959.4,14.7,1.56,"13,817,767",13255936594,964.75,704.85,31.19,0.7
POWERGRID,249.7,253.95,249.5,249.6,253.4,3.8,1.52,"4,005,681",1010633316,259.7,186.35,18.46,6.39
TITAN,"3,075.00","3,113.90","3,063.00","3,074.65","3,106.80",32.15,1.05,"643,663",1983157886,"3,113.90","1,928.00",56.67,7.44
NESTLEIND,"22,586.00","22,944.00","22,580.00","22,624.05","22,850.00",225.95,1,"38,888",886322463,"23,175.25","17,704.50",25.73,2.62
ONGC,162,164.4,161.35,161.2,162.8,1.6,0.99,"8,795,342",1436367302,169,119.85,27.94,4.2
M&M,"1,463.95","1,478.00","1,457.10","1,464.45","1,477.90",13.45,0.92,"1,456,527",2139332292,"1,498.05","1,078.00",34.21,9.17
ASIANPAINT,"3,351.35","3,400.00","3,340.75","3,347.70","3,377.00",29.3,0.88,"632,406",2134458787,"3,582.90","2,685.85",19.98,3.41
GRASIM,"1,770.00","1,784.30","1,763.65","1,769.55","1,782.30",12.75,0.72,"399,016",708273350.8,"1,839.50","1,331.60",31,3.45
BHARTIARTL,868,871,863.05,865.15,870.35,5.2,0.6,"4,284,477",3708300533,888.75,628.75,26.87,3.42
ADANIENT,"2,391.00","2,412.05","2,374.00","2,387.70","2,401.00",13.3,0.56,"2,198,481",5265449934,"4,190.00","1,017.45",5.56,-2.35
TATASTEEL,112.55,113.55,112.2,112.4,112.9,0.5,0.44,"27,877,180",3149285025,124.3,83.81,-86.85,4.07
LT,"2,461.00","2,484.95","2,454.35","2,461.85","2,472.00",10.15,0.41,"1,191,896",2943101117,"2,492.40","1,550.20",55.65,10.17
SBILIFE,"1,289.55","1,316.70","1,285.10","1,289.25","1,294.55",5.3,0.41,"960,704",1247714320,"1,340.35","1,054.00",15.35,7.21
TCS,"3,320.00","3,329.00","3,305.00","3,308.85","3,322.00",13.15,0.4,"1,453,008",4821894228,"3,575.00","2,926.10",2.28,0.1
HCLTECH,"1,194.00","1,202.60","1,187.60","1,190.60","1,195.00",4.4,0.37,"1,653,610",1975964733,"1,202.60",877.35,20.92,4.71
SBIN,589.8,593.7,588.2,589.25,591.25,2,0.34,"13,598,114",8029686317,629.55,466.85,24.46,0.35
ADANIPORTS,741,746.9,734.05,741.7,742.7,1,0.13,"2,212,779",1637921144,987.85,395.1,8.75,0.69
KOTAKBANK,"1,862.80","1,867.80","1,853.15","1,861.70","1,863.05",1.35,0.07,"3,119,185",5801309798,"2,064.40","1,643.50",11.42,-3.97
INFY,"1,357.85","1,357.95","1,341.00","1,345.15","1,346.00",0.85,0.06,"5,414,936",7294406136,"1,672.60","1,185.30",-9.6,3.55
CIPLA,"1,017.00","1,018.80","1,005.40","1,011.85","1,011.70",-0.15,-0.01,"748,219",757571737.5,"1,185.25",852,8.73,4.76
RELIANCE,"2,609.00","2,609.00","2,575.80","2,588.75","2,588.00",-0.75,-0.03,"4,729,479",12229912451,"2,755.00","2,180.00",7.25,5.44
COALINDIA,231.8,232.85,230.1,231.8,231.55,-0.25,-0.11,"4,859,892",1123850025,263.4,178,27.33,0.39
SUNPHARMA,"1,055.00","1,057.70","1,042.65","1,048.80","1,046.80",-2,-0.19,"1,840,716",1929567361,"1,072.15",821.9,26.45,4.92
BAJFINANCE,"7,879.95","7,999.90","7,780.00","7,860.45","7,843.00",-17.45,-0.22,"1,978,666",15578927818,"7,999.90","5,485.70",39.61,11.91
DRREDDY,"5,185.00","5,201.80","5,137.00","5,188.40","5,176.85",-11.55,-0.22,"282,054",1457869433,"5,204.75","3,997.00",19.15,12.54
ULTRACEMCO,"8,429.95","8,452.00","8,342.75","8,411.70","8,389.90",-21.8,-0.26,"195,350",1640232833,"8,499.00","5,632.10",47.34,7.15
TATAMOTORS,592,593,584.95,591.45,589.9,-1.55,-0.26,"8,715,919",5131758789,602.3,375.2,44.8,10.37
AXISBANK,969,975.5,962.1,970.7,967.8,-2.9,-0.3,"8,200,047",7939203505,990,640.5,48.35,4.82
JSWSTEEL,796.7,803.6,788.1,796.65,793.5,-3.15,-0.4,"2,526,894",2006833946,808.3,541,44.45,12.74
NTPC,194,194.75,192.35,194.05,193.15,-0.9,-0.46,"6,558,910",1270919991,194.8,136.1,37.23,11.17
WIPRO,394.1,395.4,391.85,395.95,393.85,-2.1,-0.53,"6,183,479",2434188343,444.9,352,-5.79,-2.22
APOLLOHOSP,"5,125.00","5,148.50","5,050.40","5,109.95","5,075.10",-34.85,-0.68,"279,982",1425357564,"5,294.00","3,700.05",35.54,2.87
HINDALCO,425,427.4,419.35,425.8,422.45,-3.35,-0.79,"4,783,528",2020227380,504,326.65,25.05,1.2
BAJAJFINSV,"1,631.00","1,642.00","1,607.55","1,629.50","1,615.50",-14,-0.86,"2,006,206",3250575334,"1,844.00","1,121.52",-85.69,11.82
TATACONSUM,859,861.25,841.15,855.55,846.45,-9.1,-1.06,"2,537,154",2149273896,877.2,686.6,17.17,7.47
UPL,679,679,669.2,676.95,669.65,-7.3,-1.08,"2,257,766",1518121858,807,636.05,3.43,-0.94
EICHERMOT,"3,410.80","3,423.40","3,280.00","3,401.80","3,313.00",-88.8,-2.61,"2,931,606",9841723819,"3,889.65","2,745.75",21.65,-8.04
HDFC,"2,866.00","2,866.00","2,783.25","2,884.85","2,800.00",-84.85,-2.94,"4,747,021",13313779918,"2,927.40","2,160.00",30.13,9.03
